100BestEffectPack Unity 6 / URP Denetimi
Prefab sayısı: 100
Particle toplamı: 485
Renderer toplamı: 485
Desteklenmeyen material/shader toplamı: 0
Kategori|Efekt|Particle|Loop|Light|Renderer|DesteklenmeyenShader|AzamiSüre
PoisonEffect|PoisonEffect1|4|4|1|4|0|5,00
PoisonEffect|PoisonEffect2|3|0|1|3|0|0,10
PoisonEffect|PoisonEffect3|6|6|1|6|0|5,00
PoisonEffect|PoisonEffect4|4|4|1|4|0|5,00
PoisonEffect|PoisonEffect5|6|0|1|6|0|0,10
PortalEffect|PortalEffect|7|7|1|7|0|5,00
PortalEffect|PortalEffect2|5|5|1|5|0|5,00
PortalEffect|PortalEffect3|5|5|1|5|0|5,00
PortalEffect|PortalEffect4|4|4|1|4|0|5,00
PortalEffect|PortalEffect5|6|6|1|6|0|5,00
SwampEffect|SwampEffect1|3|3|1|3|0|5,00
SwampEffect|SwampEffect2|7|7|1|7|0|5,00
SwampEffect|SwampEffect3|4|4|1|4|0|5,00
SwampEffect|SwampEffect4|5|1|1|5|0|2,00
SwampEffect|SwampEffect5|7|7|1|7|0|5,00
